,Description,Category,SubCategory1,SubCategory2,SubCategory3
237,"Bulky waste, Construction and demolition waste dumped next to orac's ",Waste,Bulky waste,Construction and demolition waste,
238,Construction and demolition waste dumped on the street,Waste,Bulky waste,Construction and demolition waste,
239,"The detector indicates that there has been bulky waste near a tree for months, including tiles. Please delete.",Waste,Bulky waste,Construction and demolition waste,
240,involves a scaffolding pipe,Waste,Bulky waste,Construction and demolition waste,
241,"Report that there have been road works in the street that have now been completed, but the request to sweep away the excess sand, there is still too much sand that causes nuisance in homes.",Waste,Bulky waste,Construction and demolition waste,
242,Container on the street ,Waste,Bulky waste,Construction and demolition waste,
243,"There is a red oil drum against the curb, exactly at a disabled parking lot. Would you like to collect these as soon as possible? This appears to be a repeat message.",Waste,Bulky waste,Construction and demolition waste,
244,There is a waste container on the street. This one is completely full.,Waste,Bulky waste,Construction and demolition waste,
245,Stone / plasterboard and something of an iron have been placed on the public space. Please pick up. a meter high pile. ,Waste,Bulky waste,Construction and demolition waste,
246,"An enormous amount of bulky waste, construction and demolition waste and litter has been dumped on the street by the reporter's upstairs neighbor. Concerns: toilet bowls, beds, styrofoam etc.",Waste,Bulky waste,Construction and demolition waste,
247,"Via BB: ""1 bag of soil.""",Waste,Bulky waste,Construction and demolition waste,
248,2 kitchen cabinets have been dumped.,Waste,Bulky waste,Construction and demolition waste,
249,"The bricks have been here since the summer. Please remove it now that the turn of the year is approaching, the youngsters can use it to destroy things in the street.",Waste,Bulky waste,Construction and demolition waste,
250,A whole pile of loose paving stones near a tree.,Waste,Bulky waste,Construction and demolition waste,
251,There is a big bag of sand on the road.,Waste,Bulky waste,Construction and demolition waste,
252,two toe boards and old flower boxes ,Waste,Bulky waste,Construction and demolition waste,
253,piece of mattress or carpet,Waste,Bulky waste,Construction and demolition waste,
254,Bulky waste on various streets. Rini knows about it. ,Waste,Bulky waste,Construction and demolition waste,
255,Under the hubertus viaduct. ,Waste,Bulky waste,Construction and demolition waste,
256,Mister indicates that regularly bulky waste and construction and demolition waste lies with Mister for the association. Would like this removed and also look at who may have put it out. This happens regularly and they are now a bit done with this.,Waste,Bulky waste,Construction and demolition waste,
257,A construction waste bag filled with stones and tiles. ,Waste,Bulky waste,Construction and demolition waste,
258,There is construction waste in the street and bicycles that have not been used for years - the old neighbors have already moved. The customer asks if this can be cleaned up?,Waste,Bulky waste,Construction and demolition waste,
259,There is demolition waste on the public road. Can this be cleaned up please?,Waste,Bulky waste,Construction and demolition waste,
260,Planks and construction and demolition waste.,Waste,Bulky waste,Construction and demolition waste,
261,"There have been 3 rubbish bags outside on the sidewalk for two weeks, dangerous for the visually impaired and unnecessary.",Waste,Bulky waste,Construction and demolition waste,
262,This container has been here for a while. There is also waste dumped around this.,Waste,Bulky waste,Construction and demolition waste,
263,This involves a foot of a barrier sign. (white with red stripes),Waste,Bulky waste,Construction and demolition waste,
264,"Stones, garbage bags with sand, and 4 car tires with rims left on the street",Waste,Bulky waste,Construction and demolition waste,
265,Mrs. previously called about branches next to the container MOR2150416 but these were not picked up. Madam wants it to be picked up as soon as possible. ,Waste,Bulky waste,Construction and demolition waste,
266,"There have been several pallets in Piet Hein Street since Saturday. Stands in front of the Roda Bookshop entrance. Please pick up as soon as possible. Located in a parking lot, almost on the sidewalk",Waste,Bulky waste,Construction and demolition waste,
267,"The reporter indicates to have had an appointment for the bulky waste, someone put a kind of stone bbq down, this has not been removed either. Please delete.",Waste,Bulky waste,Construction and demolition waste,
268,two containers may be squeezed out ,Waste,Bulky waste,Construction and demolition waste,
269,"Mr. indicates that there is large iron on the sidewalk with two large pipes attached to it. Mr. indicates that this is visible during the day, but can be quite dangerous for other people in the evening",Waste,Bulky waste,Construction and demolition waste,
270,Previous report: MOR2171735 Mr. indicates that there was a chemical toilet in the street for a week. But it was picked up this morning. Now the contents of the toilet are on the street. ,Waste,Bulky waste,Construction and demolition waste,
271,The reporter indicates that there is construction and demolition waste on the street. Sand has been dumped and stones have been dumped. Please delete.,Waste,Bulky waste,Construction and demolition waste,
272,There are bags of cement and soil in debris bags next to the container ,Waste,Bulky waste,Construction and demolition waste,
273,The customer calls about MOR2211933 and says that this has not yet been picked up. People now also dump a lot of combustible material there. There are now also large glass plates. Would you guys like to pick this up?,Waste,Bulky waste,Construction and demolition waste,
274,Broken garden tiles. Employees of the company Hernubo have laid the tiles inside their construction fences due to Schilderswijk riots. The stones were to be collected by the municipality. That has not happened yet. Could they be taken down asap?,Waste,Bulky waste,Construction and demolition waste,
275,"Mister has already made 2 reports of construction and demolition waste that has been left behind in a wheelie bin. MOR2215368 and MOR2211933. It has still not been removed. Please clean up asap, everything will be added.",Waste,Bulky waste,Construction and demolition waste,
276,Opposite the Stadswijngaard on Waldorpstraat in the bushes is a metal plate. Please clean up.,Waste,Bulky waste,Construction and demolition waste,
277,Loose garden tiles on the street,Waste,Bulky waste,Construction and demolition waste,
278,Next to the location is a shopping cart full of stone and tiles. Please remove asap because of danger to third parties.,Waste,Bulky waste,Construction and demolition waste,
